date, pm25, pm10, o3, no2, so2, co
2024/1/28, 99, 34, 5, 10, 1, 4
2024/1/29, 97, 39, 15, 11, 1, 6
2024/1/30, 85, 38, 21, 12, 1, 7
2024/1/31, 85, 37, 22, 12, 1, 7
2024/2/1, 74, 31, 24, 11, 2, 4
2024/2/2, 66, 18, 26, 9, 2, 4
2024/2/3, 48, 23, 20, 8, 3, 4
2024/2/4, 60, 11, 21, 4, 2, 4
2024/2/5, 22, 22, 32, 4, 2, 5
2024/2/6, 62, 8, 9, 4, 2, 7
2024/2/7, 23, 4, 11, 3, 2, 7
2024/2/8, 17, 21, 14, 3, 2, 6
2024/2/9, 51, 61, 29, 4, 3, 5
2024/2/10, 145, 39, 34, 5, 2, 3
2024/2/11, 96, 41, 37, 5, 2, 4
2024/2/12, 98, 48, 41, 6, 2, 4
2024/2/13, 121, 47, 35, 7, 2, 4
2024/2/14, 119, 40, 35, 6, 2, 4
2024/2/15, 100, 24, 32, 3, 2, 6
2024/2/16, 60, 31, 33, 5, 2, 5
2024/2/17, 83, 31, 32, 7, 2, 4
2024/2/18, 75, 26, 22, 8, 2, 4
2024/2/19, 74, 27, 28, 7, 2, 4
2024/2/20, 71, 21, 28, 7, 2, 3
2024/2/21, 56, 24, 24, 5, 3, 4
2024/2/22, 60, 14, 14, 3, 2, 5
2024/2/23, 36, 13, 13, 3, 2, 5
2024/2/24, 43, 17, 14, 3, 2, 7
2024/2/25, 51, 19, 16, 4, 2, 6
2024/2/26, 58, 13, 12, 4, 5, 6
2024/2/27, 41, 29, 32, 8, 3, 7
2024/2/28, 76, 14, 18, 5, 2, 6
2024/2/29, 45, 15, 29, 4, 2, 6
2024/3/1, 54, 19, 21, 4, 2, 5
2024/3/2, 50, 29, 18, 10, 4, 6
2024/3/3, 70, 35, 38, 13, 2, 5
2024/3/4, 80, 46, 16, 20, 2, 6
2024/3/5, 96, 22, 25, 6, 2, 6
2024/3/6, 48, 19, 21, 5, 2, 6
2024/3/7, 60, 28, 37, 11, 2, 6
2024/3/8, 71, 41, 35, 11, 3, 5
2024/3/9, 98, 17, 25, 5, 2, 4
2024/3/10, 68, 11, 21, 9, 2, 6
2024/3/11, 53, 27, 41, 10, 3, 5
2024/3/12, 56, 50, 36, 14, 4, 4
2024/3/13, 80, 51, 32, 11, 3, 5
2024/3/14, 119, 27, 21, 10, 3, 6
2024/3/15, 64, 36, 20, 13, 2, 6
2024/3/16, 98, 32, 28, 8, 3, 4
2024/3/17, 72, 33, 25, 9, 4, 4
2024/3/18, 78, 19, 40, 5, 2, 4
2024/3/19, 31, 46, 44, 12, 4, 4
2024/3/20, 64, 54, 64, 14, 3, 4
2024/3/21, 95, 53, 30, 17, 2, 4
2024/3/22, 87, 47, 35, 14, 2, 5
2024/3/23, 92, 44, 30, 14, 2, 4
2024/3/24, 85, 27, 25, 9, 2, 3
2024/3/25, 54, 25, 41, 8, 2, 4
2024/3/26, 55, 32, 34, 10, 3, 4
2024/3/27, 77, 35, 31, 10, 2, 4
2024/3/28, 79, 35, 42, 12, 7, 4
2024/3/29, 66, 46, 37, 12, 2, 5
2024/3/30, 104, 27, 33, 7, 2, 4
2024/3/31, 62, 23, 27, 5, 2, 4
2023/10/1, 64, 17, 36, 4, 3, 6
2023/10/2, 37, 36, 32, 6, 4, 6
2023/10/3, 79, 34, 34, 5, 4, 5
2023/10/4, 72, 22, 27, 4, 3, 5
2023/10/5, 40, 18, 32, 6, 4, 4
2023/10/6, 32, 10, 14, 6, 3, 5
2023/10/7, 37, 10, 7, 7, 4, 5
2023/10/8, 28, 15, 10, 7, 4, 6
2023/10/9, 39, 12, 7, 7, 3, 6
2023/10/10, 25, 14, 9, 8, 4, 6
2023/10/11, 23, 24, 12, 9, 4, 7
2023/10/12, 47, 25, 21, 9, 3, 6
2023/10/13, 45, 31, 38, 9, 8, 6
2023/10/14, 60, 40, 45, 12, 4, 7
2023/10/15, 82, 41, 41, 12, 4, 7
2023/10/16, 80, 42, 50, 9, 5, 6
2023/10/17, 79, 49, 49, 10, 5, 7
2023/10/18, 115, 44, 28, 10, 4, 6
2023/10/19, 108, 22, 23, 7, 3, 5
2023/10/20, 52, 16, 17, 7, 4, 5
2023/10/21, 28, 23, 9, 9, 5, 6
2023/10/22, 50, 29, , 10, 7, 6
2023/10/23, 69, 30, 11, 8, 4, 6
2023/10/24, 61, 38, 3, 11, 4, 6
2023/10/25, 76, 47, 57, 13, 4, 6
2023/10/26, 102, 31, 24, 9, 4, 5
2023/10/27, 70, 18, 24, 6, 3, 4
2023/10/28, 34, 21, 25, 7, 4, 5
2023/10/29, 37, 33, 30, 9, 3, 6
2023/10/30, 51, 36, 39, 12, 4, 5
2023/10/31, 52, 32, 42, 12, 4, 5
2023/11/1, 61, 33, 43, 13, 6, 5
2023/11/2, 73, 36, 49, 12, 6, 5
2023/11/3, 86, 44, 53, 11, 3, 5
2023/11/4, 111, 39, 25, 12, 4, 5
2023/11/5, 91, 34, 34, 14, 5, 5
2023/11/6, 63, 37, 46, 16, 5, 6
2023/11/7, 65, 48, 35, 12, 4, 6
2023/11/8, 111, 45, 38, 11, 5, 6
2023/11/9, 90, 43, 13, 20, 5, 5
2023/11/10, 86, 19, 14, 9, 4, 5
2023/11/11, 40, 11, 13, 5, 4, 5
2023/11/12, 17, 10, 11, 7, 4, 5
2023/11/13, 25, 21, 6, 9, 4, 6
2023/11/14, 53, 31, 23, 11, 4, 6
2023/11/15, 72, 32, 27, 11, 6, 6
2023/11/16, 51, 57, 32, 11, 7, 6
2023/11/17, 72, 53, 33, 15, 7, 6
2023/11/18, 83, 50, 30, 16, 7, 5
2023/11/19, 87, 41, 32, 14, 7, 5
2023/11/20, 81, 42, 41, 17, 8, 5
2023/11/21, 81, 43, 45, 18, 6, 6
2023/11/22, 93, 48, 42, 18, 6, 7
2023/11/23, 100, 45, 39, 16, 7, 5
2023/11/24, 95, 45, 40, 9, 4, 4
2023/11/25, 85, 40, 34, 14, 7, 4
2023/11/26, 79, 48, 33, 16, 5, 5
2023/11/27, 110, 49, 27, 17, 5, 5
2023/11/28, 108, 49, 34, 14, 5, 5
2023/11/29, 89, 42, 30, 11, 4, 5
2023/11/30, 96, 27, 18, 8, 2, 6
2023/12/1, 71, 35, 20, 12, 2, 6
2023/12/2, 81, 42, 10, 15, 3, 6
2023/12/3, 96, 30, 5, 10, 2, 6
2023/12/4, 82, 16, 10, 9, , 6
2023/12/5, 44, 21, 18, 11, , 6
2023/12/6, 54, 31, , 14, 3, 5
2023/12/7, 64, 37, , 17, 5, 4
2023/12/8, 76, 50, , 18, 7, 4
2023/12/9, 95, 54, 9, 24, 2, 7
